Product Name,Product Version,Mapped Product Name,Lifecycle Color,Match Type,Match Details
DataStax Enterprise,5.1.35,DataStax Enterprise,green,major.minor,Major.minor match: '5.1.35' matches '5.1' in 'ibm datastax enterprise'
Storage Protect Plus,10.1.16-135.el8,Storage Protect Plus,green,substring,"Substring match: found 'storage protect plus' in 'ibm storage protect plus', version='10.1.x'"
Cloud Pak for Security,1.10.25.0,Cloud Pak for Security,red,substring,"Substring match: found 'cloud pak for security' in 'ibm cloud pak for security', version='1.10.x'"
Consul Self-Managed,0.2.0,Consul Self-Managed,blue,no_match,"No match found for product 'Consul Self-Managed' (mapped from 'Consul Self-Managed'), version '0.2.0'"
Integrated Analytics Systems,7.5.0,Integrated Analytics Systems,blue,no_match,"No match found for product 'Integrated Analytics Systems' (mapped from 'Integrated Analytics Systems'), version '7.5.0'"
QRadar SIEM,7.5.0.1,IBM Security QRadar SIEM,green,exact,"Exact match: product='ibm security qradar siem', version='7.5.x'"
FileNet Content Manager,nan,FileNet Content Manager,blue,no_match,Empty or null version
Security Verify Privilege,11.0.7,Security Verify Privilege,red,substring,"Substring match: found 'security verify privilege' in 'ibm security verify privilege', version='11.0.7'"
Turbonomic On-Premises,8.12.x,Turbonomic On-Premises,blue,no_match,"No match found for product 'Turbonomic On-Premises' (mapped from 'Turbonomic On-Premises'), version '8.12.x'"
AP Series Wireless LAN Access Points,nan,AP Series Wireless LAN Access Points,blue,no_match,Empty or null version
Spectrum LSF Simulator,nan,Spectrum LSF Simulator,blue,no_match,Empty or null version
Power System Mellanox Switch,nan,Power System Mellanox Switch,blue,no_match,Empty or null version
DataStax Enterprise,6.8.42,DataStax Enterprise,green,wildcard,Wildcard match: version '6.8.42' matches pattern '6.x' in 'ibm datastax enterprise'
Storage Protect,8.1.27.000,Storage Protect,green,substring,"Substring match: found 'storage protect' in 'ibm storage protect', version='8.1.x'"
Nexus 9000 Series Switches,nan,Nexus 9000 Series Switches,blue,no_match,Empty or null version
Tivoli Netcool Configuration Manager,6.4.2.23,Tivoli Netcool Configuration Manager,red,exact,"Exact match: product='tivoli netcool configuration manager', version='6.4.x'"
QRadar SOAR,49.2,QRadar SOAR,blue,no_match,"No match found for product 'QRadar SOAR' (mapped from 'QRadar SOAR'), version '49.2'"
DataStax Enterprise,5.1.26,DataStax Enterprise,green,major.minor,Major.minor match: '5.1.26' matches '5.1' in 'ibm datastax enterprise'
Document Scanners,nan,Document Scanners,blue,no_match,Empty or null version
Datacap,9.1.6,Datacap,green,substring,"Substring match: found 'datacap' in 'ibm datacap', version='9.1.x'"
DataStax Enterprise,6.0.4,DataStax Enterprise,green,wildcard,Wildcard match: version '6.0.4' matches pattern '6.x' in 'ibm datastax enterprise'
Rhapsody,9.0.2,Rhapsody,orange,major.minor,Major.minor match: '9.0.2' matches '9.0.1' in 'ibm engineering systems design rhapsody'
DevOps Deploy,7.3.1.1,DevOps Deploy,blue,no_match,"No match found for product 'DevOps Deploy' (mapped from 'DevOps Deploy'), version '7.3.1.1'"
Planning Analytics Local,2.1.8,Planning Analytics Local,green,substring,"Substring match: found 'planning analytics local' in 'ibm planning analytics local', version='2.1.x'"
BladeCenter Series,nan,BladeCenter Series,blue,no_match,Empty or null version
Cloud Object Storage,3.20.1.59,Cloud Object Storage,blue,no_match,"No match found for product 'Cloud Object Storage' (mapped from 'Cloud Object Storage'), version '3.20.1.59'"
Red Hat Ceph Storage,4.x,Red Hat Ceph Storage,blue,no_match,"No match found for product 'Red Hat Ceph Storage' (mapped from 'Red Hat Ceph Storage'), version '4.x'"
CICS VSAM Recovery,nan,CICS VSAM Recovery,blue,no_match,Empty or null version
Storage Protect Plus,10.1.17 - ifix1,Storage Protect Plus,green,substring,"Substring match: found 'storage protect plus' in 'ibm storage protect plus', version='10.1.x'"
Supercomputer,nan,Supercomputer,blue,no_match,Empty or null version
Informix Dynamic Server,IDS 12.10.xC13,IBM Informix Advanced Enterprise Edition,blue,no_match,"No match found for product 'IBM Informix Advanced Enterprise Edition' (mapped from 'Informix Dynamic Server'), version 'ids 12.10.xc13'"
TRIRIGA Applications,11.4.X,TRIRIGA Applications,blue,no_match,"No match found for product 'TRIRIGA Applications' (mapped from 'TRIRIGA Applications'), version '11.4.x'"
Cloud Object Storage,3.16.0.55,Cloud Object Storage,red,substring,"Substring match: found 'cloud object storage' in 'ibm cloud object storage system', version='3.16.x'"
IMS Tools Base for z/OS,1.8.0,IMS Tools Base for z/OS,green,exact,"Exact match: product='ims tools base for z/os', version='1.8.x'"
Content Navigator and Content Navigator Mobile App,3.0.4,Content Navigator and Content Navigator Mobile App,blue,no_match,"No match found for product 'Content Navigator and Content Navigator Mobile App' (mapped from 'Content Navigator and Content Navigator Mobile App'), version '3.0.4'"
"ACF/VTAM (VM,VSE)",4.2.0 zVM,"ACF/VTAM (VM,VSE)",blue,no_match,"No match found for product 'ACF/VTAM (VM,VSE)' (mapped from 'ACF/VTAM (VM,VSE)'), version '4.2.0 zvm'"
ThinkStation,nan,ThinkStation,blue,no_match,Empty or null version
Mac Pro,nan,Mac Pro,blue,no_match,Empty or null version
Cloud Object Storage,3.17.4.79,Cloud Object Storage,green,substring,"Substring match: found 'cloud object storage' in 'ibm cloud object storage system', version='3.17.x'"
Application Support Facility,34E (Out of Support - Service Extension Required),Application Support Facility,blue,no_match,"No match found for product 'Application Support Facility' (mapped from 'Application Support Facility'), version '34e (out of support - service extension required)'"
Storage Protect Plus,10.1.16 Build: 502,Storage Protect Plus,green,substring,"Substring match: found 'storage protect plus' in 'ibm storage protect plus', version='10.1.x'"
DevOps Model RealTime,12.1.6,DevOps Model RealTime,green,substring,"Substring match: found 'devops model realtime' in 'ibm devops model realtime', version='12.1.x'"
Screen Definition Facility II,1.4.0,Screen Definition Facility II,green,exact,"Exact match: product='screen definition facility ii', version='1.4.x'"
Spectrum Virtualize for Storwize V7000,8.4,Spectrum Virtualize for Storwize V7000,blue,no_match,"No match found for product 'Spectrum Virtualize for Storwize V7000' (mapped from 'Spectrum Virtualize for Storwize V7000'), version '8.4'"
Developer for z/OS HLL/WB,16.0.x,Developer for z/OS HLL/WB,green,substring,"Substring match: found 'developer for z/os hll/wb' in 'ibm developer for z/os hll/wb edition', version='16.0.x'"
IMS,15.1 (EOS),IMS,blue,no_match,"No match found for product 'IMS' (mapped from 'IMS'), version '15.1'"
Watson Explorer,12.0.3.8,Watson Explorer,red,major.minor,Major.minor match: '12.0.3.8' matches '12.0.0 - 12.0.2' in 'ibm watson explorer'
Informix Tools and Connectivity,Informix HQ,IBM Informix Advanced Enterprise Edition,blue,no_match,"No match found for product 'IBM Informix Advanced Enterprise Edition' (mapped from 'Informix Tools and Connectivity'), version 'informix hq'"
Wireless Controller,nan,Wireless Controller,blue,no_match,Empty or null version
Storwize V7000,8.1,Storwize V7000,blue,no_match,"No match found for product 'Storwize V7000' (mapped from 'Storwize V7000'), version '8.1'"
