Product Name,Invalid Version String,Reason,Total Tickets Affected
CICS Transaction Server,CICS/VSE TS 2.2 - (EOS 30th Sept 2023),Matches pattern: \(.*\),20
Sterling B2B Integrator,6.0.0 (not supported),Matches pattern: \(.*\),19
Tivoli Network Manager,4.2.0.7 (build 67),Matches pattern: \(.*\),19
IBM i on Cloud,7.2 [EOS 30 April 2021 Need Service Extension],Too many words (8),19
PL/I,"Enterprise PL/I for z/OS Runtime, V3+",Too many words (6),18
z/OS,1.10.0 (EOS),Matches pattern: \(.*\),18
Sterling Control Center,6.0.X (Unsupported),Matches pattern: \(.*\),18
Debug for z/OS,"14.2.x (EOS, 2022-09-30)",Matches pattern: \(.*\),18
Db2 for z/OS,10 (EOS),Matches pattern: \(.*\),18
Engineering Workflow Management,7.0.1 (Ended Support 9/30/2023),Matches pattern: \(.*\),18
Spectrum LSF,9.1.X (EOS),Matches pattern: \(.*\),18
Storage Protect Plus,"Version 10.1.16 Build: 502 Jun 4, 2024 12:01:33 PM",Too many words (9),18
Storage Scale,5.0.5 (EOS 4/30/2022),Matches pattern: \(.*\),18
SDK for Node.js,"SDK for Node.js - z/OS, V18.0",Too many words (6),18
Storage Scale,5.0.x (EOS 4/30/2022),Matches pattern: \(.*\),18
Automatic Binary Optimizer,"IBM Automatic Binary Optimizer for z/OS Trial, V2.2.0",Too long (53 chars),17
QRadar SIEM,7.2.x (EOS),Matches pattern: \(.*\),17
Tivoli Network Manager,4.2.0.4 (build 47),Matches pattern: \(.*\),17
SDK for Node.js,"SDK for Node.js - z/OS, V22.0",Too many words (6),17
Storage Protect Plus,Versão 10.1.16 Construção: 330 18 de jan de 2024 23:11:16,Too long (57 chars),17
z/OS,1.13.0 (EOS),Matches pattern: \(.*\),16
Tivoli Network Manager,4.2.0.6 (build 62),Matches pattern: \(.*\),16
Sterling Connect Direct for z/OS,5.2 (Unsupported),Matches pattern: \(.*\),16
Application Performance Analyzer,"14.2.x (EOS, 2024-04-30)",Matches pattern: \(.*\),15
IBM i,"6.1 [EOL 30 Sep 2019 no service, use documentation / forums]",Too long (60 chars),15
Tivoli Network Manager,4.2.0.5 (build 60),Matches pattern: \(.*\),14
Sterling Transformation Extender,10.0.3 (Support Extension Required),Matches pattern: \(.*\),14
Sterling Secure Proxy,3.4.3 (Unsupported),Matches pattern: \(.*\),14
Unified Key Orchestrator,Crypto Analytics Tool (CAT),Matches pattern: \(.*\),14
IBM i,"5.4 [EOL 30 Sep 2017 no service, use documentation / forums]",Too long (60 chars),14
DB2 Server for VSE and VM,7.5 Out-Of-Support (09-30-2023),Matches pattern: \(.*\),14
Cloud Infrastructure Center,1.2.0 for IBM Z and LinuxONE,Too many words (6),13
Storage Protect Plus,"Version 10.1.10 Build: 2709 Apr 25, 2022 12:36:41 PM",Too long (52 chars),13
COBOL,"Enterprise COBOL for z/OS, V5.1 (EOS 4/30/2020)",Matches pattern: \(.*\),13
Engineering Requirements Management DOORS Next,6.0.6 (Ended Support 10/31/2022),Matches pattern: \(.*\),12
Storage Protect Plus,"Version 10.1.16 Build: 542 Aug 22, 2024 2:40:34 PM",Too many words (9),12
Storage Scale System Software,Spectrum Scale Data Management Edition for ESS 5.0.5 (EOS 4/30/2022),Too long (68 chars),12
COBOL,"Enterprise COBOL for z/OS, V6.1 (EOS, 09/30/2022)",Matches pattern: \(.*\),12
Sterling Connect Direct,C:D i5/OS 3.7 (Unsupported),Matches pattern: \(.*\),11
"Sterling Configure, Price, Quote",9.3 (Extended Support Only),Matches pattern: \(.*\),11
Rational Developer,"9.5.x (EOS, 2019-05-28)",Matches pattern: \(.*\),11
Engineering Requirements Management DOORS Next,6.0.6.1 (Ended Support 10/31/2022),Matches pattern: \(.*\),11
z/OS,2.4.0 (EOS - Sept 2022),Matches pattern: \(.*\),11
Open Enterprise SDK for Node.js,"SDK for Node.js - z/OS, V24.0",Too many words (6),10
