original_product,mapped_product,version,normalized_versions,found_in,matched_version,is_blue
TRIRIGA Platform,TRIRIGA Platform,TRIRIGA Platform,tririga platform,NOT FOUND,N/A,True
Magnetic Stripe Device,Magnetic Stripe Device,Magnetic Stripe Device,magnetic stripe device,NOT FOUND,N/A,True
Shopz,Shopz,ShopZ,shopz,NOT FOUND,N/A,True
zSecure,IBM Security zSecure Admin,zSecure,zsecure,NOT FOUND,N/A,True
Spectrum Conductor,Spectrum Conductor,Spectrum Conductor,spectrum conductor,NOT FOUND,N/A,True
DS8870,DS8870,DS8870,ds8870,NOT FOUND,N/A,True
Sparc,Sparc,Sparc,sparc,NOT FOUND,N/A,True
Oniqua Analytics Solution,Oniqua Analytics Solution,Oniqua Analytics Solution,oniqua analytics solution,NOT FOUND,N/A,True
Banknote Counter,Banknote Counter,Banknote Counter,banknote counter,NOT FOUND,N/A,True
VX Pin Pad,VX Pin Pad,VX Pin Pad,vx pin pad,NOT FOUND,N/A,True
ThinkPad Series Laptops,ThinkPad Series Laptops,ThinkPad,thinkpad,NOT FOUND,N/A,True
TRIRIGA Applications,TRIRIGA Applications,TRIRIGA Applications,tririga applications,NOT FOUND,N/A,True
App Connect Professional,App Connect Professional,App Connect Professional,app connect professional,NOT FOUND,N/A,True
InfoSphere Information Server: Information Analyzer (IA),InfoSphere Information Server: Information Analyzer (IA),InfoSphere Information Server: Information Analyzer (IA),infosphere information server: information analyzer (ia),NOT FOUND,N/A,True
Thermal Barcode Printer,Thermal Barcode Printer,Thermal Barcode Printer,thermal barcode printer,NOT FOUND,N/A,True
Sterling File Gateway,IBM Sterling File Gateway,Sterling File Gateway,sterling file gateway,NOT FOUND,N/A,True
watsonx.data as a Service,watsonx.data as a Service,watsonx.data as a Service,"watsonx.data as a service, watsonx.data as a service.0, watsonx.data as a service.x",NOT FOUND,N/A,True
Sterling Secure Proxy,Sterling Secure Proxy,Sterling Secure Proxy,sterling secure proxy,NOT FOUND,N/A,True
TS2900 Tape Autoloader,TS2900 Tape Autoloader,TS2900 Tape Autoloader,ts2900 tape autoloader,NOT FOUND,N/A,True
Tivoli Monitoring Agents,Tivoli Monitoring,ITM Agents,itm agents,NOT FOUND,N/A,True
Switch,Switch,Switch,switch,NOT FOUND,N/A,True
watsonx.data,watsonx.data,watsonx.data,"watsonx.data, watsonx.data.0, watsonx.data.x",NOT FOUND,N/A,True
Partner Ecosystem Support,Partner Ecosystem Support,Digital eCare,digital ecare,NOT FOUND,N/A,True
ThinkCentre,ThinkCentre,ThinkCentre,thinkcentre,NOT FOUND,N/A,True
Apollo 4200 Series Servers,Apollo 4200 Series Servers,Apollo Server,apollo server,NOT FOUND,N/A,True
Optim Test Data Management,Optim Test Data Management,Optim Test Data Management,optim test data management,NOT FOUND,N/A,True
BEETLE Series Point of Sale Systems,BEETLE Series Point of Sale Systems,BEETLE Series Point of Sale Systems,beetle series point of sale systems,NOT FOUND,N/A,True
Laptop Personal Computers,Laptop Personal Computers,Latitude,latitude,NOT FOUND,N/A,True
Premium Operations MVS,Premium Operations MVS,Storage Premium Operations,storage premium operations,NOT FOUND,N/A,True
Power System L1124 Server,Power System L1124 Server,Power System L1124 Server,power system l1124 server,NOT FOUND,N/A,True
Power System L1122 Server,Power System L1122 Server,Power System L1122 Server,power system l1122 server,NOT FOUND,N/A,True
Teller Cash Dispenser,Teller Cash Dispenser,Teller Cash Dispenser,teller cash dispenser,NOT FOUND,N/A,True
Power System E1150 Server,Power System E1150 Server,Power System E1150 Server,power system e1150 server,NOT FOUND,N/A,True
Tape Library,Tape Library,TS4300 Tape Library,ts4300 tape library,NOT FOUND,N/A,True
Spectrum Archive Enterprise and Library,Spectrum Archive Enterprise and Library,Spectrum Archive Enterprise and Library,spectrum archive enterprise and library,NOT FOUND,N/A,True
LinuxONE Rockhopper 4 LA2,LinuxONE Rockhopper 4 LA2,Z Servers,z servers,NOT FOUND,N/A,True
Rational Licensing,Rational License Key Server,Licensing Group,licensing group,NOT FOUND,N/A,True
Cloud Pak System,Cloud Pak System,Cloud Pak System / PureApplication,cloud pak system / pureapplication,NOT FOUND,N/A,True
Power System L1024 Server,Power System L1024 Server,Power System L1024 Server,power system l1024 server,NOT FOUND,N/A,True
Security Family,Security Family,Security Family,security family,NOT FOUND,N/A,True
MQ for z/OS,MQ for z/OS,IBM MQ for z/OS,ibm mq for z/os,NOT FOUND,N/A,True
Spectrum LSF RTM,Spectrum LSF RTM,Spectrum LSF RTM,spectrum lsf rtm,NOT FOUND,N/A,True
Advanced VSAM Manager for z/OS,Advanced VSAM Manager for z/OS,Advanced VSAM Manager for z/OS,advanced vsam manager for z/os,NOT FOUND,N/A,True
TS2270 Tape Drive,TS2270 Tape Drive,TS2270 Tape Drive,ts2270 tape drive,NOT FOUND,N/A,True
Planning Analytics as a Service,Planning Analytics as a Service,IBM Planning Analytics as a Service,ibm planning analytics as a service,NOT FOUND,N/A,True
DS8880,DS8880,DS8880,ds8880,NOT FOUND,N/A,True
Storage Scale Erasure Code Edition,Storage Scale Erasure Code Edition,Spectrum Scale Erasure Code Edition,spectrum scale erasure code edition,NOT FOUND,N/A,True
DP Series Printer,DP Series Printer,DP Series Printer,dp series printer,NOT FOUND,N/A,True
Tivoli Network Manager,Tivoli Network Manager,Netcool ITNM - ITNCM,netcool itnm - itncm,NOT FOUND,N/A,True
Dynamics 365,Dynamics 365,Dynamics 365,dynamics 365,NOT FOUND,N/A,True
watsonx Orchestrate Cartridge for IBM Cloud Pak for Data,watsonx Orchestrate Cartridge for IBM Cloud Pak for Data,watsonx Orchestrate Cartridge for IBM Cloud Pak for Data,watsonx orchestrate cartridge for ibm cloud pak for data,NOT FOUND,N/A,True
Security Verify Directory Integrator,Security Verify Directory Integrator,Security Verify Directory Integrator,security verify directory integrator,NOT FOUND,N/A,True
EDB Enterprise Postgres,EDB Enterprise Postgres,EDB Enterprise Postgres,edb enterprise postgres,NOT FOUND,N/A,True
Db2 Analytics Accelerator for z/OS,Db2 Analytics Accelerator for z/OS,Db2 Analytics Accelerator for z/OS,db2 analytics accelerator for z/os,NOT FOUND,N/A,True
watsonx.ai,watsonx.ai,watsonx.ai,"watsonx.ai, watsonx.ai.0, watsonx.ai.x",NOT FOUND,N/A,True
FileNet Image Services (IS) Connector,FileNet Image Services (IS) Connector,FileNet Image Services (IS) Connector,filenet image services (is) connector,NOT FOUND,N/A,True
Z Software Asset Management,Z Software Asset Management,Z Software Asset Management,z software asset management,NOT FOUND,N/A,True
