original_product,mapped_product,version,normalized_versions,found_in,matched_version,is_blue
Apache ActiveMQ Artemis,Apache ActiveMQ Artemis,unassigned,unassigned,NOT FOUND,N/A,True
Advanced Audit DFSMShsm,Advanced Audit DFSMShsm,Tivoli Advanced Audit for DFSMShsm - TEP,tivoli advanced audit for dfsmshsm - tep,NOT FOUND,N/A,True
CICS Performance Analyzer,CICS Performance Analyzer,CICS Performance Analyzer,cics performance analyzer,NOT FOUND,N/A,True
AI System Services for IBM z/OS,AI System Services for IBM z/OS,AI System Services for IBM z/OS,ai system services for ibm z/os,NOT FOUND,N/A,True
Sterling Connect Enterprise for z/OS,Sterling Connect Enterprise for z/OS,Sterling Connect:Enterprise for z/OS,sterling connect:enterprise for z/os,NOT FOUND,N/A,True
Business Monitor,Business Monitor,Business Monitor,business monitor,NOT FOUND,N/A,True
Mac Mini,Mac Mini,Mac Mini,mac mini,NOT FOUND,N/A,True
Robotic Process Automation as a Service,Robotic Process Automation as a Service,Robotic Process Automation as a Service,robotic process automation as a service,NOT FOUND,N/A,True
Automation Foundation,Automation Foundation,Automation Foundation,automation foundation,NOT FOUND,N/A,True
PL/I,IBM Enterprise PL/I for z/OS,PL/I,pl/i,NOT FOUND,N/A,True
Voice Gateway,Voice Gateway,IBM Voice Gateway,ibm voice gateway,NOT FOUND,N/A,True
Analytics Engine,Analytics Engine,Analytics Engine,analytics engine,NOT FOUND,N/A,True
REXX Compiler/Library,REXX Compiler/Library,REXX Compiler/Library,rexx compiler/library,NOT FOUND,N/A,True
watsonx.data integration,watsonx.data integration,watsonx.data integration,"watsonx.data integration, watsonx.data integration.0, watsonx.data integration.x",NOT FOUND,N/A,True
A9000 Software,A9000 Software,A9000 Software,a9000 software,NOT FOUND,N/A,True
Open Enterprise SDK for Node.js,Open Enterprise SDK for Node.js,SDK for Node.js,"sdk for node.js, sdk for node.js.0, sdk for node.js.x",NOT FOUND,N/A,True
z/OS Container Platform,z/OS Container Platform,z/OS Container Platform,z/os container platform,NOT FOUND,N/A,True
Db2 CI/CD Expert for z/OS,Db2 CI/CD Expert for z/OS,Db2 CI/CD Expert for z/OS,db2 ci/cd expert for z/os,NOT FOUND,N/A,True
Z JCL Expert,Z JCL Expert,Z JCL Expert,z jcl expert,NOT FOUND,N/A,True
Tivoli Business Service Manager,Tivoli Business Service Manager,Netcool Impact TBSM,netcool impact tbsm,NOT FOUND,N/A,True
PC Series Desktop Thermal Printers,PC Series Desktop Thermal Printers,PC Series Desktop Thermal Printers,pc series desktop thermal printers,NOT FOUND,N/A,True
G600 Series SAN Switches,G600 Series SAN Switches,G600 Series SAN Switches,g600 series san switches,NOT FOUND,N/A,True
Flex System V7000,Flex System V7000,Flex System V7000,flex system v7000,NOT FOUND,N/A,True
Power System 760 Server,Power System 760 Server,Power System 760 Server,power system 760 server,NOT FOUND,N/A,True
Power Cloud Infrastructure,Power Cloud Infrastructure,Power Cloud Infrastructure,power cloud infrastructure,NOT FOUND,N/A,True
Rational Business Developer,Rational Business Developer,Rational Business Developer,rational business developer,NOT FOUND,N/A,True
Spectrum Virtualize for FlashSystem 9000 Series,Spectrum Virtualize for FlashSystem 9000 Series,Spectrum Virtualize for FlashSystem 9000 Series,spectrum virtualize for flashsystem 9000 series,NOT FOUND,N/A,True
Storwize V3500,Storwize V3500,Storwize V3500,storwize v3500,NOT FOUND,N/A,True
Customer Concierge Kiosk,Customer Concierge Kiosk,unassigned,unassigned,NOT FOUND,N/A,True
Global Name Management,Global Name Management,Global Name Management,global name management,NOT FOUND,N/A,True
AOEMF Controller,AOEMF Controller,AOEMF Controller,aoemf controller,NOT FOUND,N/A,True
Rational Developer,Rational Developer,No Product,no product,NOT FOUND,N/A,True
MongoDB Enterprise Advanced,MongoDB Enterprise Advanced,MongoDB Enterprise Advanced,mongodb enterprise advanced,NOT FOUND,N/A,True
VMware vSphere,VMware vSphere,VMware vSphere,vmware vsphere,NOT FOUND,N/A,True
EasyCoder Desktop Thermal Printers,EasyCoder Desktop Thermal Printers,EasyCoder Desktop Thermal Printers,easycoder desktop thermal printers,NOT FOUND,N/A,True
Power System Expandable Disk System,Power System Expandable Disk System,Power System Expandable Disk System,power system expandable disk system,NOT FOUND,N/A,True
eCare: Partner,eCare: Partner,Digital eCare,digital ecare,NOT FOUND,N/A,True
GitLab Premium for IBM,GitLab Premium for IBM,GitLab Premium for IBM,gitlab premium for ibm,NOT FOUND,N/A,True
Aruba Networking Gateways,Aruba Networking Gateways,unassigned,unassigned,NOT FOUND,N/A,True
System Backup and Recovery,System Backup and Recovery,System Backup and Recovery,system backup and recovery,NOT FOUND,N/A,True
Sterling Partner Engagement Manager,Sterling Partner Engagement Manager,Sterling Partner Engagement Manager Software,sterling partner engagement manager software,NOT FOUND,N/A,True
Quantum Safe Explorer,Quantum Safe Explorer,unassigned,unassigned,NOT FOUND,N/A,True
Db2 Accessories Suite,Db2 Accessories Suite,Db2 Accessories Suite,db2 accessories suite,NOT FOUND,N/A,True
Z Digital Integration Hub,Z Digital Integration Hub,Z Digital Integration Hub,z digital integration hub,NOT FOUND,N/A,True
Advanced Allocation Management for z/OS,Advanced Allocation Management for z/OS,Advanced Allocation Management for z/OS,advanced allocation management for z/os,NOT FOUND,N/A,True
3PAR StoreServ Series Storages,3PAR StoreServ Series Storages,3PAR Storage,3par storage,NOT FOUND,N/A,True
Tools Customizer for z/OS,Tools Customizer for z/OS,Tools Customizer for z/OS,tools customizer for z/os,NOT FOUND,N/A,True
IoT Connected Vehicle Insights,IoT Connected Vehicle Insights,(SaaS) IoT Connected Vehicle Insights,(saas) iot connected vehicle insights,NOT FOUND,N/A,True
Open SDK for Rust,Open SDK for Rust,Open SDK for Rust,open sdk for rust,NOT FOUND,N/A,True
XML Toolkit for z/OS,XML Toolkit for z/OS,XML Toolkit for z/OS,xml toolkit for z/os,NOT FOUND,N/A,True
ThinkAgile HX Series Server,ThinkAgile HX Series Server,ThinkAgile Series Appliances,thinkagile series appliances,NOT FOUND,N/A,True
Identity Services Engine,Identity Services Engine,Identity Services Engine,identity services engine,NOT FOUND,N/A,True
"Configure, Price, Quote on Cloud","Configure, Price, Quote on Cloud","Configure, Price, Quote on Cloud","configure, price, quote on cloud",NOT FOUND,N/A,True
Power System IC922 Server,Power System IC922 Server,Power System IC922 Server,power system ic922 server,NOT FOUND,N/A,True
IBM Cloud Private,IBM Cloud Private,IBM Cloud Private,ibm cloud private,NOT FOUND,N/A,True
Enterprise Content Management System Monitor,Enterprise Content Management System Monitor,Enterprise Content Management System Monitor,enterprise content management system monitor,NOT FOUND,N/A,True
DevOps Build,DevOps Build,DevOps Build,devops build,NOT FOUND,N/A,True
G700 Series SAN Swtiches,G700 Series SAN Swtiches,G700 Series SAN Swtiches,g700 series san swtiches,NOT FOUND,N/A,True
Smart Assist Project Services,Smart Assist Project Services,Smart Assist Project Services,smart assist project services,NOT FOUND,N/A,True
Cloud Pak for Security SaaS,Cloud Pak for Security SaaS,Cloud Pak for Security SaaS,cloud pak for security saas,NOT FOUND,N/A,True
Sterling Fulfillment Optimizer with Watson,Sterling Fulfillment Optimizer with Watson,Sterling Order Optimizer with Watson,sterling order optimizer with watson,NOT FOUND,N/A,True
Watson Knowledge Studio for Cloud,Watson Knowledge Studio for Cloud,Watson Knowledge Studio for Cloud,watson knowledge studio for cloud,NOT FOUND,N/A,True
Self Checkout System,Self Checkout System,Self Checkout System,self checkout system,NOT FOUND,N/A,True
SmartCloud Application Performance Management,SmartCloud Application Performance Management,ITCAM,itcam,NOT FOUND,N/A,True
PowerLinux Series Server,PowerLinux Series Server,PowerLinux Series Server,powerlinux series server,NOT FOUND,N/A,True
Messaging Security Gateways,Messaging Security Gateways,Messaging Security Gateways,messaging security gateways,NOT FOUND,N/A,True
Foundation & Advanced Support for Java Runtimes,Foundation & Advanced Support for Java Runtimes,Support for Runtimes,support for runtimes,NOT FOUND,N/A,True
License Management Support,License Management Support,License Management Support - LMS,license management support - lms,NOT FOUND,N/A,True
Concert for Power,Concert for Power,unassigned,unassigned,NOT FOUND,N/A,True
ThinkAgile VX Series Server,ThinkAgile VX Series Server,ThinkSystem DB610 Series SAN Switches,thinksystem db610 series san switches,NOT FOUND,N/A,True
ThinkSystem Top of Rack (ToR) Switch,ThinkSystem Top of Rack (ToR) Switch,Networking - Switch,networking - switch,NOT FOUND,N/A,True
Content Foundation,Content Foundation,Content Foundation,content foundation,NOT FOUND,N/A,True
Storage System,Storage System,Storage System,storage system,NOT FOUND,N/A,True
SAP HANA,SAP HANA,SAP HANA,sap hana,NOT FOUND,N/A,True
Salesforce Internal Support,Salesforce Internal Support,SF Support,sf support,NOT FOUND,N/A,True
Apache Kafka,Apache Kafka,Apache Kafka,apache kafka,NOT FOUND,N/A,True
Z Backup Resiliency,Z Backup Resiliency,IZBR,izbr,NOT FOUND,N/A,True
Storage Protect for Space Management,Storage Protect for Space Management,Storage Protect for Space Management,storage protect for space management,NOT FOUND,N/A,True
High Level Assembler,High Level Assembler,HLASM,hlasm,NOT FOUND,N/A,True
Power System Mellanox Director Switch,Power System Mellanox Director Switch,Power System Mellanox Director Switch,power system mellanox director switch,NOT FOUND,N/A,True
Db2 Query Management Facility for TSO/CICS,Db2 Query Management Facility for TSO/CICS,Db2 Query Management Facility for z/OS,db2 query management facility for z/os,NOT FOUND,N/A,True
ThinkAgile SXM for Mellanox Switch,ThinkAgile SXM for Mellanox Switch,TS2240 Tape Drives,ts2240 tape drives,NOT FOUND,N/A,True
Db2 Sort for z/OS,Db2 Sort for z/OS,Db2 Sort for z/OS,db2 sort for z/os,NOT FOUND,N/A,True
Sterling Connect Express,Sterling Connect Express,Sterling Connect Express,sterling connect express,NOT FOUND,N/A,True
Netcool Agile Service Manager,Netcool Agile Service Manager,Netcool ITNM - ITNCM,netcool itnm - itncm,NOT FOUND,N/A,True
Z OMEGAMON AI for Storage,Z OMEGAMON AI for Storage,Z OMEGAMON AI for Storage,z omegamon ai for storage,NOT FOUND,N/A,True
Storm Travel Case,Storm Travel Case,Storm Travel Case,storm travel case,NOT FOUND,N/A,True
TV,TV,TV,tv,NOT FOUND,N/A,True
Maximo for Nuclear Power,Maximo for Nuclear Power,Maximo for Nuclear Power,maximo for nuclear power,NOT FOUND,N/A,True
LTO 10 Tape Drive,LTO 10 Tape Drive,No Product,no product,NOT FOUND,N/A,True
Case Manager,Case Manager,Case Manager,case manager,NOT FOUND,N/A,True
Rhapsody Systems Engineering,Rhapsody Systems Engineering,Rhapsody Systems Engineering,rhapsody systems engineering,NOT FOUND,N/A,True
Communication Server,Communication Server,Communication Server,communication server,NOT FOUND,N/A,True
IP Phone,IP Phone,IP Phone,ip phone,NOT FOUND,N/A,True
Quidway Series Switches,Quidway Series Switches,Quidway Series Switches,quidway series switches,NOT FOUND,N/A,True
Controller,Controller,Controller,controller,NOT FOUND,N/A,True
Db2 DevOps Experience for z/OS,Db2 DevOps Experience for z/OS,Db2 DevOps Experience for z/OS,db2 devops experience for z/os,NOT FOUND,N/A,True
Java Technology,Java Technology,Java Technology,java technology,NOT FOUND,N/A,True
Transformation Extender Advanced,Transformation Extender Advanced,Transformation Extender Advanced,transformation extender advanced,NOT FOUND,N/A,True
7800 Series SAN Switches,7800 Series SAN Switches,unassigned,unassigned,NOT FOUND,N/A,True
Maximo for Aviation,Maximo for Aviation,Maximo For Aviation,maximo for aviation,NOT FOUND,N/A,True
Db2 Utilities Solution Pack for z/OS,Db2 Utilities Solution Pack for z/OS,Db2 Utilities Solution Pack for z/OS,db2 utilities solution pack for z/os,NOT FOUND,N/A,True
Red Hat Ceph Storage,Red Hat Ceph Storage,Red Hat Ceph Storage,red hat ceph storage,NOT FOUND,N/A,True
IMS Performance Analyzer for z/OS,IMS Performance Analyzer for z/OS,IMS Performance Analyzer for z/OS,ims performance analyzer for z/os,NOT FOUND,N/A,True
XOS Switches,XOS Switches,X460 Series Network Switches,x460 series network switches,NOT FOUND,N/A,True
Query Workload Tuner,Query Workload Tuner,Query Workload Tuner,query workload tuner,NOT FOUND,N/A,True
Red Hat for Fusion,Red Hat for Fusion,No Product,no product,NOT FOUND,N/A,True
System i 525 Server,System i 525 Server,System i 525 Server,system i 525 server,NOT FOUND,N/A,True
Db2 Table Editor for z/OS,Db2 Table Editor for z/OS,Db2 Table Editor for z/OS,db2 table editor for z/os,NOT FOUND,N/A,True
eDiscovery,eDiscovery,eDiscovery,ediscovery,NOT FOUND,N/A,True
Digital Commerce Site: Other Products,Digital Commerce Site: Other Products,Digital eCare,digital ecare,NOT FOUND,N/A,True
Optim Archive for z/OS,Optim Archive for z/OS,Optim Archive for z/OS,optim archive for z/os,NOT FOUND,N/A,True
Power System S812L Server,Power System S812L Server,Power System S812L Server,power system s812l server,NOT FOUND,N/A,True
Db2 SQL Performance Analyzer for z/OS,Db2 SQL Performance Analyzer for z/OS,Db2 SQL Performance Analyzer for z/OS,db2 sql performance analyzer for z/os,NOT FOUND,N/A,True
VS Fortran Compiler/Library,VS Fortran Compiler/Library,VS Fortran on OS/390,vs fortran on os/390,NOT FOUND,N/A,True
Library Support for Struts,Library Support for Struts,unassigned,unassigned,NOT FOUND,N/A,True
IBM HTTP Server,IBM HTTP Server,WebSphere IBM HTTP Server,websphere ibm http server,NOT FOUND,N/A,True
N-series,N-series,N-series,n-series,NOT FOUND,N/A,True
PowerVC,PowerVC,PowerVC,powervc,NOT FOUND,N/A,True
IMS Fast Path Solution Pack for z/OS,IMS Fast Path Solution Pack for z/OS,IMS Fast Path Solution Pack,ims fast path solution pack,NOT FOUND,N/A,True
Db2 Recovery Expert Pro for z/OS,Db2 Recovery Expert Pro for z/OS,Db2 Recovery Expert Pro for z/OS,db2 recovery expert pro for z/os,NOT FOUND,N/A,True
Business Automation Insights,Business Automation Insights,Business Automation Insights,business automation insights,NOT FOUND,N/A,True
Tape Autoloader,Tape Autoloader,TS2900 Tape Autoloaders,ts2900 tape autoloaders,NOT FOUND,N/A,True
X7 Series SAN Directors,X7 Series SAN Directors,Storage Director Chassis,storage director chassis,NOT FOUND,N/A,True
DevOps Test Performance Test Server,DevOps Test Performance Test Server,DevOps Test Performance Test Server,devops test performance test server,NOT FOUND,N/A,True
Identity Manager,Identity Manager,Identity Manager,identity manager,NOT FOUND,N/A,True
Firewall Appliance,Firewall Appliance,PA Series,pa series,NOT FOUND,N/A,True
ThinkSystem DB Series SAN Switch,ThinkSystem DB Series SAN Switch,ThinkSystem DB620 Series SAN Switches,thinksystem db620 series san switches,NOT FOUND,N/A,True
QRadar SOAR SaaS,QRadar SOAR SaaS,QRadar SOAR SaaS,qradar soar saas,NOT FOUND,N/A,True
Z Decision Support,Z Decision Support,Cap Mgmt Analytics Monitor Agent 1.8.1,"cap mgmt analytics monitor agent 1.8.1, cap mgmt analytics monitor agent 1.8.1.0, cap mgmt analytics monitor agent 1.8.x",NOT FOUND,N/A,True
Confidential Computing Containers for Red Hat OpenShift Container Platform,Confidential Computing Containers for Red Hat OpenShift Container Platform,No Product,no product,NOT FOUND,N/A,True
Data Gate for z/OS,Data Gate for z/OS,Db2 Data Gate,db2 data gate,NOT FOUND,N/A,True
Guardium S-TAP for zOS,IBM Security Guardium S-TAP for Db2 on z/OS,Guardium S-TAP for zOS,guardium s-tap for zos,NOT FOUND,N/A,True
AIX Toolbox for Open Source Software,AIX Toolbox for Open Source Software,AIX Toolbox for Open Source Software,aix toolbox for open source software,NOT FOUND,N/A,True
Cloud Pak for Multicloud Management,Cloud Pak for Multicloud Management,Cloud Pak for Multicloud Management,cloud pak for multicloud management,NOT FOUND,N/A,True
Security Management,Security Management,Security Management,security management,NOT FOUND,N/A,True
Spyre Support Appliance for IBM Z & IBM LinuxONE,Spyre Support Appliance for IBM Z & IBM LinuxONE,Spyre Support Appliance for IBM Z & IBM LinuxOne,spyre support appliance for ibm z & ibm linuxone,NOT FOUND,N/A,True
OMEGAMON for IMS on z/OS,OMEGAMON for IMS on z/OS,OMEGAMON for IMS on z/OS,omegamon for ims on z/os,NOT FOUND,N/A,True
ILOG CPLEX Optimization Studio Subscription,ILOG CPLEX Optimization Studio Subscription,ILOG CPLEX Optimization Studio Subscription,ilog cplex optimization studio subscription,NOT FOUND,N/A,True
Z Observability Connect,Z Observability Connect,Z Application Performance Management Connect,z application performance management connect,NOT FOUND,N/A,True
Other Applications,Other Applications,Microsoft Applications,microsoft applications,NOT FOUND,N/A,True
Solaris,Solaris,Solaris,solaris,NOT FOUND,N/A,True
Storwize Storage Series,Storwize Storage Series,Storwize V3700 Storage Systems,storwize v3700 storage systems,NOT FOUND,N/A,True
Application Policy Infrastructure Controller,Application Policy Infrastructure Controller,APIC,apic,NOT FOUND,N/A,True
GitLab Ultimate for IBM,GitLab Ultimate for IBM,GitLab Ultimae for IBM Cloud Paks,gitlab ultimae for ibm cloud paks,NOT FOUND,N/A,True
Access Point,Access Point,Access Point,access point,NOT FOUND,N/A,True
PostgreSQL,PostgreSQL,PostgreSQL,postgresql,NOT FOUND,N/A,True
Rapid Infrastructure Automation,Rapid Infrastructure Automation,Rapid Network Automation,rapid network automation,NOT FOUND,N/A,True
On Call Manager,On Call Manager,oncallmanager,oncallmanager,NOT FOUND,N/A,True
VMware ESXi,VMware ESXi,VMware ESXi,vmware esxi,NOT FOUND,N/A,True
Integrity Superdome 2 Series Servers,Integrity Superdome 2 Series Servers,Integrity Superdome 2 Series Servers,integrity superdome 2 series servers,NOT FOUND,N/A,True
Engineering Lifecycle Optimization Method Composer,Engineering Lifecycle Optimization Method Composer,Engineering Lifecycle Optimization Method Composer,engineering lifecycle optimization method composer,NOT FOUND,N/A,True
BladeCenter JS Series Server,BladeCenter JS Series Server,BladeCenter JS Series Server,bladecenter js series server,NOT FOUND,N/A,True
Unified Storage,Unified Storage,Unified Storage,unified storage,NOT FOUND,N/A,True
Data Erasure Project Services,Data Erasure Project Services,No Product,no product,NOT FOUND,N/A,True
Data Gate for watsonx,Data Gate for watsonx,Data Gate for watsonx,data gate for watsonx,NOT FOUND,N/A,True
IMS High Performance Image Copy for z/OS,IMS High Performance Image Copy for z/OS,IMS HP Image Copy,ims hp image copy,NOT FOUND,N/A,True
Print Management Facility/MVS,Print Management Facility/MVS,AFP/PMF,afp/pmf,NOT FOUND,N/A,True
Z OMEGAMON AI for Db2,Z OMEGAMON AI for Db2,No Product,no product,NOT FOUND,N/A,True
ICKDSF (Device Support Facilities),ICKDSF (Device Support Facilities),unassigned,unassigned,NOT FOUND,N/A,True
RS/6000 F50 Server,RS/6000 F50 Server,RS/6000 F50 Server,rs/6000 f50 server,NOT FOUND,N/A,True
Interactive System Productivity Facility for VM,Interactive System Productivity Facility for VM,unassigned,unassigned,NOT FOUND,N/A,True
Hyperflex HX Series,Hyperflex HX Series,Hyperflex HX Series,hyperflex hx series,NOT FOUND,N/A,True
Verify Privileged Identity Platform,Verify Privileged Identity Platform,unassigned,unassigned,NOT FOUND,N/A,True
z196,z196,Z Servers,z servers,NOT FOUND,N/A,True
Powervault,Powervault,Powervault,powervault,NOT FOUND,N/A,True
LTO 10 Tape Drive,LTO 10 Tape Drive,unassigned,unassigned,NOT FOUND,N/A,True
Zabbix,Zabbix,Zabbix,zabbix,NOT FOUND,N/A,True
Tivoli Storage Manager FastBack,Tivoli Storage Manager FastBack,Tivoli Storage Manager FastBack,tivoli storage manager fastback,NOT FOUND,N/A,True
UTM Hardware Appliances,UTM Hardware Appliances,UTM Hardware Appliances,utm hardware appliances,NOT FOUND,N/A,True
Watson Natural Language Understanding,Watson Natural Language Understanding,Watson Natural Language Understanding,watson natural language understanding,NOT FOUND,N/A,True
Ubuntu Linux Server,Ubuntu Linux Server,Ubuntu Linux Server,ubuntu linux server,NOT FOUND,N/A,True
Advanced Archive for DFSMShsm,Advanced Archive for DFSMShsm,Advanced Archive for z/OS,advanced archive for z/os,NOT FOUND,N/A,True
SimpliVity Hyperconverged Infrastructure,SimpliVity Hyperconverged Infrastructure,SimpliVity Hyperconverged Infrastructure,simplivity hyperconverged infrastructure,NOT FOUND,N/A,True
Production Imaging Edition,Production Imaging Edition,Production Imaging Edition,production imaging edition,NOT FOUND,N/A,True
On Call Manager,On Call Manager,No Product,no product,NOT FOUND,N/A,True
Host Access Transformation Services,Host Access Transformation Services,Host Access Transformation Services,host access transformation services,NOT FOUND,N/A,True
TotalStorage Storage Enclosure,TotalStorage Storage Enclosure,No Product,no product,NOT FOUND,N/A,True
Container Hosting Foundation for z/OS,Container Hosting Foundation for z/OS,Container Hosting Foundation for z/OS,container hosting foundation for z/os,NOT FOUND,N/A,True
QRadar EDR SaaS,QRadar EDR SaaS,QRadar EDR SaaS,qradar edr saas,NOT FOUND,N/A,True
TRIRIGA Suite,TRIRIGA Suite,TRIRIGA Application Suite,tririga application suite,NOT FOUND,N/A,True
Guardium Cryptography Manager,Guardium Cryptography Manager,unassigned,unassigned,NOT FOUND,N/A,True
Data Domain,Data Domain,Data Domain,data domain,NOT FOUND,N/A,True
IMS Problem Investigator for z/OS,IMS Problem Investigator for z/OS,IMS Problem Investigator for z/OS,ims problem investigator for z/os,NOT FOUND,N/A,True
Lenovo Base,Lenovo Base,TS2250 Tape Drives,ts2250 tape drives,NOT FOUND,N/A,True
IMS Queue Control Facility for z/OS,IMS Queue Control Facility for z/OS,IMS Queue Control Facility,ims queue control facility,NOT FOUND,N/A,True
Netra,Netra,Netra,netra,NOT FOUND,N/A,True
Guardium Cryptography Manager,Guardium Cryptography Manager,No Product,no product,NOT FOUND,N/A,True
Pliant SaaS,Pliant SaaS,Pliant SaaS,pliant saas,NOT FOUND,N/A,True
Terminals for Attractive Customer Experience Client Controller,Terminals for Attractive Customer Experience Client Controller,Terminals for Attractive Customer Experience Client Controller,terminals for attractive customer experience client controller,NOT FOUND,N/A,True
PTX Series Routers,PTX Series Routers,PTX Series,ptx series,NOT FOUND,N/A,True
TRIRIGA CAD Integrator/Publisher,TRIRIGA CAD Integrator/Publisher,TRIRIGA CAD Integrator/Publisher,tririga cad integrator/publisher,NOT FOUND,N/A,True
IntelliFlex Storage Appliance Series,IntelliFlex Storage Appliance Series,IntelliFlex Storage Appliance Series,intelliflex storage appliance series,NOT FOUND,N/A,True
Python AI Toolkit for z/OS,Python AI Toolkit for z/OS,Python AI Toolkit for z/OS,python ai toolkit for z/os,NOT FOUND,N/A,True
Power System S824L Server,Power System S824L Server,Power System S824L Server,power system s824l server,NOT FOUND,N/A,True
Watson AI Services,Watson AI Services,Watson AI Services,watson ai services,NOT FOUND,N/A,True
CICS Batch Application Control,CICS Batch Application Control,CICS Batch Application Control,cics batch application control,NOT FOUND,N/A,True
Terminals for Attractive Customer Experience Scanner,Terminals for Attractive Customer Experience Scanner,Terminals for Attractive Customer Experience Scanner,terminals for attractive customer experience scanner,NOT FOUND,N/A,True
StorageWorks MSL Series Tape Libraries,StorageWorks MSL Series Tape Libraries,Storageworks Tape Library,storageworks tape library,NOT FOUND,N/A,True
Advanced Backup and Recovery for z/OS,Advanced Backup and Recovery for z/OS,Tivoli Advanced Backup and Recovery for z,tivoli advanced backup and recovery for z,NOT FOUND,N/A,True
Spyre Runtime for IBM Z & IBM LinuxONE,Spyre Runtime for IBM Z & IBM LinuxONE,Spyre Runtime for IBM Z & IBM LinuxOne,spyre runtime for ibm z & ibm linuxone,NOT FOUND,N/A,True
Db2 Data Access Common Collector,Db2 Data Access Common Collector,Db2 Data Access Common Collector,db2 data access common collector,NOT FOUND,N/A,True
Course Generator,Course Generator,unassigned,unassigned,NOT FOUND,N/A,True
Optim Archive Viewer,Optim Archive Viewer,Optim Archive Viewer,optim archive viewer,NOT FOUND,N/A,True
Tivoli Composite Application Manager for Transactions,Tivoli Composite Application Manager for Transactions,ITCAM,itcam,NOT FOUND,N/A,True
Talent Platform Optimizers,Talent Platform Optimizers,unassigned,unassigned,NOT FOUND,N/A,True
IMS Library Integrity Utilities for z/OS,IMS Library Integrity Utilities for z/OS,IMS Library Integrity Utilities,ims library integrity utilities,NOT FOUND,N/A,True
Unified Key Orchestrator,Unified Key Orchestrator,unassigned,unassigned,NOT FOUND,N/A,True
DevOps Test Hub,DevOps Test Hub,DevOps Test Hub,devops test hub,NOT FOUND,N/A,True
Red Hat Enterprise Linux for SAP Solutions,Red Hat Enterprise Linux for SAP Solutions,Red Hat Enterprise Linux for SAP Solutions,red hat enterprise linux for sap solutions,NOT FOUND,N/A,True
Servers,Servers,Servers,servers,NOT FOUND,N/A,True
Fluent Bit,Fluent Bit,Fluent Bit,fluent bit,NOT FOUND,N/A,True
MobileFirst Quality Assurance,MobileFirst Quality Assurance,MobileFirst Quality Assurance,mobilefirst quality assurance,NOT FOUND,N/A,True
Fiber Service Platform,Fiber Service Platform,Fiber Service Platform,fiber service platform,NOT FOUND,N/A,True
watsonx Code Assistant,watsonx Code Assistant,watsonx Code Assistant for Ansible,watsonx code assistant for ansible,NOT FOUND,N/A,True
T-1000 Series Firewall Appliances,T-1000 Series Firewall Appliances,T-1000 Series Firewall Appliances,t-1000 series firewall appliances,NOT FOUND,N/A,True
Maximo for Life Sciences,Maximo for Life Sciences,Maximo for Life Sciences,maximo for life sciences,NOT FOUND,N/A,True
Data Product Hub,Data Product Hub,Data Product Hub,data product hub,NOT FOUND,N/A,True
Beetle Point of Sale System,Beetle Point of Sale System,Beetle Point of Sale System,beetle point of sale system,NOT FOUND,N/A,True
Python for z/OS,Python for z/OS,Python for z/OS,python for z/os,NOT FOUND,N/A,True
OMEGAMON Performance Management Suite,OMEGAMON Performance Management Suite,OMEGAMON Performance Management Suite,omegamon performance management suite,NOT FOUND,N/A,True
Open Enterprise Foundation for z/OS,Open Enterprise Foundation for z/OS,Open Enterprise Foundation for z/OS,open enterprise foundation for z/os,NOT FOUND,N/A,True
Expertise Connect for On Demand Consulting,Expertise Connect for On Demand Consulting,unassigned,unassigned,NOT FOUND,N/A,True
Invoices and Orders,Invoices and Orders,Digital eCare,digital ecare,NOT FOUND,N/A,True
Aruba Networking CX Series Switches,Aruba Networking CX Series Switches,unassigned,unassigned,NOT FOUND,N/A,True
Db2 Performance Solution Pack for z/OS,Db2 Performance Solution Pack for z/OS,Db2 Performance Solution Pack for z/OS,db2 performance solution pack for z/os,NOT FOUND,N/A,True
AP Series Wireless LAN Access Points,AP Series Wireless LAN Access Points,unassigned,unassigned,NOT FOUND,N/A,True
Spectrum LSF Simulator,Spectrum LSF Simulator,Spectrum LSF Simulator,spectrum lsf simulator,NOT FOUND,N/A,True
Power System Mellanox Switch,Power System Mellanox Switch,Power System Mellanox Switch,power system mellanox switch,NOT FOUND,N/A,True
Nexus 9000 Series Switches,Nexus 9000 Series Switches,unassigned,unassigned,NOT FOUND,N/A,True
Document Scanners,Document Scanners,Document Scanners,document scanners,NOT FOUND,N/A,True
BladeCenter Series,BladeCenter Series,Bladecenter,bladecenter,NOT FOUND,N/A,True
CICS VSAM Recovery,CICS VSAM Recovery,CICS VSAM Recovery,cics vsam recovery,NOT FOUND,N/A,True
Supercomputer,Supercomputer,Supercomputer,supercomputer,NOT FOUND,N/A,True
"ACF/VTAM (VM,VSE)","ACF/VTAM (VM,VSE)",unassigned,unassigned,NOT FOUND,N/A,True
ThinkStation,ThinkStation,ThinkStation,thinkstation,NOT FOUND,N/A,True
Mac Pro,Mac Pro,Mac Pro,mac pro,NOT FOUND,N/A,True
Application Support Facility,Application Support Facility,ASF,asf,NOT FOUND,N/A,True
DevOps Model RealTime,DevOps Model RealTime,DevOps Model RealTime,devops model realtime,NOT FOUND,N/A,True
Screen Definition Facility II,Screen Definition Facility II,SDF II,sdf ii,NOT FOUND,N/A,True
Developer for z/OS HLL/WB,Developer for z/OS HLL/WB,Developer for z/OS HLL/WB,developer for z/os hll/wb,NOT FOUND,N/A,True
